ID,ApH45min,ApH24h,ApH48h,BpH45min,BpH24h,BpH48h
917,5.61 ,5.84 ,5.85 ,5.49 ,5.62 ,5.50 
918,6.07 ,6.02 ,6.15 ,5.79 ,5.74 ,5.52 
919,6.56 ,5.57 ,5.77 ,6.06 ,5.72 ,5.55 
920,5.85 ,5.49 ,5.57 ,6.16 ,6.00 ,5.84 
921,6.09 ,5.64 ,5.70 ,6.34 ,6.53 ,6.42 
922,5.88 ,5.63 ,5.70 ,6.34 ,6.54 ,6.45 
923,5.81 ,5.90 ,5.91 ,5.94 ,5.70 ,5.54 
924,6.04 ,5.54 ,5.75 ,5.94 ,5.66 ,5.50 
944,6.66 ,5.63 ,5.38 ,2.83 ,6.53 ,5.23 
945,6.15 ,5.62 ,5.48 ,2.57 ,2.73 ,4.77 
946,6.32 ,5.88 ,5.58 ,3.40 ,12.03 ,12.85 
947,5.96 ,5.45 ,5.68 ,2.70 ,3.73 ,8.37 
948,6.13 ,5.59 ,5.88 ,2.60 ,6.10 ,8.77 
949,6.06 ,5.54 ,5.78 ,2.80 ,5.03 ,8.90 
950,5.94 ,5.74 ,5.89 ,3.20 ,8.03 ,12.70 
951,6.34 ,5.60 ,5.71 ,2.37 ,4.20 ,6.60 
952,5.75 ,5.72 ,5.75 ,3.30 ,2.77 ,7.43 
953,5.76 ,5.74 ,6.08 ,2.70 ,6.67 ,10.17 
954,5.94 ,5.83 ,5.84 ,2.37 ,4.67 ,10.17 
955,6.06 ,5.80 ,5.80 ,3.77 ,8.60 ,12.57 
956,6.33 ,5.78 ,5.73 ,2.67 ,5.23 ,12.43 
957,6.04 ,5.72 ,5.62 ,2.73 ,3.43 ,4.43 
958,6.25 ,5.96 ,5.74 ,2.57 ,3.20 ,4.77 
959,5.79 ,5.69 ,5.59 ,2.63 ,1.77 ,4.13 
960,6.15 ,5.72 ,5.68 ,2.47 ,2.50 ,3.40 
961,6.15 ,5.74 ,5.68 ,3.43 ,6.53 ,8.17 
962,6.01 ,5.72 ,5.74 ,3.53 ,2.77 ,6.13 
963,6.05 ,5.84 ,5.71 ,2.50 ,3.03 ,6.23 
964,5.71 ,5.62 ,5.93 ,9.87 ,11.50 ,13.07 
965,5.99 ,5.71 ,5.77 ,3.80 ,3.37 ,10.00 
